transaction_id,transaction_date,account_id,customer_id,transaction_type,transaction_channel,transaction_amount,account_balance,transaction_status
9000000,2023-06-24,5260178,1085506,Credit,Branch,28650.97,96564.58,Failed
9000001,2024-06-10,5058472,1143936,Debit,Online,11659.97,76866.84,Failed
9000002,2023-03-05,5238659,1100545,Credit,Mobile,32300.46,95479.8,Completed
9000003,2023-05-11,5013908,1003193,Debit,ATM,31506.95,175124.55,Failed
9000004,2024-06-15,5040484,1183781,Credit,Mobile,39064.96,23884.11,Pending
9000005,2023-01-09,5292260,1069527,Credit,Branch,41449.31,138572.97,Failed
9000006,2023-04-10,5185364,1051221,Credit,ATM,30934.71,184000.06,Pending
9000007,2024-01-20,5237807,1197941,Credit,ATM,43487.88,55054.19,Completed
9000008,2023-11-14,5206643,1049173,Transfer,Online,27589.57,164726.26,Completed
9000009,2024-07-04,5045943,1132840,Transfer,ATM,49601.55,235.75,Completed
9000010,2023-06-22,5121837,1180341,Credit,Mobile,29227.01,16005.33,Completed
9000011,2023-03-10,5106927,1062826,Credit,Mobile,8541.11,101914.66,Pending
9000012,2023-01-03,5206770,1129482,Credit,Branch,29681.4,102670.74,Completed
9000013,2023-02-07,5071225,1119230,Credit,ATM,42966.94,115823.0,Completed
9000014,2023-03-25,5085123,1052293,Transfer,Branch,21921.18,162572.06,Completed
9000015,2024-06-05,5107382,1004426,Debit,Mobile,27913.96,160401.7,Failed
9000016,2023-12-04,5200335,1094047,Transfer,Online,36640.96,108852.36,Pending
9000017,2024-02-02,5228814,1106429,Debit,Mobile,47755.03,78410.03,Completed
9000018,2023-11-03,5290550,1197133,Transfer,Branch,3974.52,75886.95,Pending
9000019,2023-09-09,5113981,1183646,Transfer,Branch,39583.7,143400.13,Completed
9000020,2024-06-09,5127808,1191712,Debit,ATM,13272.54,61614.2,Completed
9000021,2023-01-15,5296873,1046536,Transfer,Online,28735.01,47099.68,Completed
9000022,2024-02-27,5080455,1087224,Debit,ATM,36757.45,131.84,Failed
9000023,2023-11-21,5225667,1118393,Transfer,ATM,21210.4,153662.74,Pending
9000024,2023-05-29,5058027,1156455,Debit,ATM,29584.22,146477.78,Failed
9000025,2023-05-22,5226498,1190381,Transfer,Mobile,2527.83,145235.64,Pending
9000026,2023-02-15,5275505,1151152,Credit,ATM,45904.4,186796.36,Pending
9000027,2024-04-03,5180522,1111000,Debit,Online,45880.1,74338.05,Pending
9000028,2023-08-27,5035846,1141839,Credit,Mobile,47733.51,79883.45,Completed
