transaction_id,transaction_date,account_id,customer_id,transaction_type,transaction_channel,transaction_amount,account_balance,transaction_status
9018655,2023-12-14,5169083,1062919,Credit,ATM,30585.1,74232.08,Pending
9018656,2023-02-22,5136597,1136157,Transfer,Branch,23391.07,189496.82,Pending
9018657,2023-05-27,5293870,1019732,Credit,ATM,48284.02,10022.74,Pending
9018658,2023-02-15,5088748,1087962,Debit,Branch,47716.88,159350.28,Pending
9018659,2024-05-06,5269627,1123831,Transfer,ATM,3071.45,84512.09,Pending
9018660,2023-06-05,5252791,1025011,Credit,Mobile,23605.22,114549.09,Completed
9018661,2023-05-31,5013868,1162694,Transfer,Online,21619.16,32044.07,Failed
9018662,2023-07-18,5096617,1119853,Debit,Branch,8023.75,8725.71,Completed
9018663,2023-11-12,5052879,1122727,Transfer,Mobile,49180.96,155545.92,Failed
9018664,2024-05-22,5182786,1175239,Transfer,Mobile,20006.63,87452.03,Completed
9018665,2023-09-26,5281388,1124643,Debit,ATM,43544.33,107776.0,Pending
9018666,2023-01-13,5288201,1065422,Transfer,Mobile,41212.8,56567.84,Completed
9018667,2023-08-02,5000482,1179951,Debit,Mobile,36111.72,106237.0,Failed
9018668,2023-01-11,5168491,1090294,Debit,ATM,24375.16,42073.91,Pending
9018669,2024-01-21,5075865,1067445,Debit,Online,28329.53,78868.82,Completed
9018670,2023-12-01,5259246,1053433,Credit,Online,23776.68,64998.32,Failed
9018671,2023-12-10,5022667,1127721,Credit,Mobile,27613.4,140414.77,Completed
9018672,2024-05-22,5053526,1179281,Debit,ATM,49143.84,17585.61,Completed
9018673,2024-03-02,5246252,1110528,Transfer,Online,42121.97,26390.78,Failed
9018674,2023-03-31,5073260,1199172,Debit,ATM,8427.05,73622.33,Pending
9018675,2024-04-01,5038467,1040810,Debit,Online,40097.78,43602.65,Pending
9018676,2023-06-14,5054003,1096350,Transfer,Mobile,41222.38,145448.43,Completed
9018677,2024-07-13,5031782,1118403,Transfer,Mobile,38725.04,103250.8,Failed
9018678,2023-08-27,5109384,1009235,Debit,Online,30793.99,86074.51,Failed
9018679,2024-02-04,5090107,1029699,Debit,Branch,13805.79,87767.21,Failed
9018680,2023-01-31,5010047,1187733,Transfer,Branch,43235.86,148408.15,Failed
9018681,2023-03-11,5179341,1193250,Credit,Mobile,46252.69,23775.16,Pending
9018682,2023-02-26,5167270,1111084,Debit,Branch,29947.41,68705.19,Completed
9018683,2023-05-19,5105160,1154363,Transfer,Mobile,4122.86,10414.45,Failed
9018684,2023-08-15,5041003,1122786,Transfer,Online,7178.39,95586.21,Failed
9018685,2024-04-20,5244632,1171385,Debit,Online,8637.25,93529.63,Failed
9018686,2023-03-13,5248931,1063287,Transfer,Mobile,4980.24,56755.24,Completed
9018687,2023-05-15,5123045,1045350,Credit,Mobile,45545.36,120085.14,Completed
9018688,2023-12-22,5113273,1072210,Transfer,Branch,18649.04,125111.51,Completed
9018689,2023-12-17,5184752,1042236,Credit,Branch,49589.31,183076.49,Completed
9018690,2023-10-23,5151166,1006472,Debit,Mobile,6479.78,57502.16,Pending
9018691,2023-12-11,5028158,1028637,Debit,Branch,2949.56,133825.63,Failed
9018692,2024-03-19,5058620,1127069,Transfer,Mobile,18287.18,79465.6,Failed
9018693,2023-12-22,5277708,1126452,Transfer,Mobile,44851.0,188870.48,Pending
9018694,2024-08-15,5047822,1159824,Credit,Online,47904.89,62049.23,Pending
9018695,2023-02-14,5263277,1126970,Debit,Mobile,12272.64,178180.29,Completed
9018696,2023-12-05,5211668,1016005,Credit,ATM,11361.51,76315.66,Pending
9018697,2023-09-19,5225291,1041288,Debit,Branch,43737.65,49846.29,Failed
9018698,2023-12-12,5076073,1068588,Credit,Mobile,7699.65,194124.04,Pending
9018699,2024-07-26,5155178,1172515,Credit,Mobile,1962.6,83608.95,Completed
9018700,2023-01-21,5209763,1173933,Debit,Online,4390.38,155464.96,Pending
9018701,2024-05-20,5229825,1016281,Debit,Mobile,43983.02,142326.65,Completed
9018702,2023-11-19,5167351,1168541,Debit,ATM,24358.6,77246.57,Completed
9018703,2024-06-10,5156993,1190505,Transfer,ATM,47892.31,19818.49,Failed
9018704,2024-04-19,5184945,1186605,Debit,Branch,35193.96,36289.21,Failed
9018705,2024-03-29,5091803,1017446,Transfer,ATM,8090.84,169337.36,Pending
9018706,2023-06-20,5293775,1024222,Credit,Online,18630.28,77396.25,Completed
9018707,2023-10-20,5059370,1003045,Credit,Mobile,31153.32,199959.15,Completed
9018708,2023-11-03,5147781,1045366,Transfer,Online,26344.33,196894.38,Completed
9018709,2024-06-22,5219007,1053204,Transfer,ATM,3293.94,81942.55,Failed
9018710,2024-02-02,5102418,1161710,Credit,ATM,22476.06,174532.24,Completed
9018711,2023-05-25,5279815,1103874,Credit,Branch,3072.77,195977.41,Failed
9018712,2023-04-02,5259287,1066812,Credit,Branch,13611.79,99238.46,Completed
9018713,2023-03-19,5204783,1146243,Credit,Online,0.0,162518.82,Pending
9018714,2023-06-02,5266283,1026949,Credit,Online,22051.05,130622.18,Completed
9018715,2024-05-30,5068053,1191316,Transfer,Mobile,40174.95,48569.98,Completed
9018716,2023-06-11,5120661,1081164,Debit,ATM,16557.81,169916.4,Failed
9018717,2023-05-29,5168583,1050166,Debit,Mobile,22028.43,80009.08,Pending
9018718,2023-11-02,5150604,1001985,Debit,Branch,13327.96,74954.57,Pending
9018719,2023-05-29,5158921,1119707,Credit,Mobile,38636.37,154052.59,Pending
9018720,2023-02-19,5053761,1168149,Debit,Mobile,14615.48,187070.09,Failed
9018721,2024-02-24,5163019,1041738,Credit,ATM,16547.14,73063.95,Completed
9018722,2023-05-03,5189080,1114487,Credit,ATM,19234.96,193309.09,Pending
9018723,2024-01-04,5237567,1054712,Credit,Branch,23750.78,26764.39,Completed
9018724,2024-08-20,5295179,1136396,Transfer,ATM,7911.45,113710.41,Pending
9018725,2024-03-13,5293561,1041568,Transfer,Mobile,38297.33,97895.21,Failed
9018726,2024-05-23,5005109,1131263,Credit,Branch,12013.9,163930.77,Completed
9018727,2023-03-29,5115430,1175589,Credit,Mobile,13741.05,8321.97,Failed
9018728,2023-08-25,5073479,1019179,Transfer,Mobile,45722.91,7891.13,Failed
9018729,2023-12-25,5098182,1160525,Debit,Online,42045.39,148420.85,Pending
9018730,2023-01-16,5236272,1150706,Debit,Online,45002.81,189152.27,Failed
9018731,2023-11-19,5260469,1008383,Transfer,ATM,15680.88,185122.4,Pending
9018732,2023-08-14,5100800,1170552,Transfer,ATM,3008.49,162924.61,Failed
9018733,2024-01-01,5134702,1089371,Credit,Branch,41080.53,24706.52,Failed
9018734,2023-04-12,5017228,1070845,Transfer,Mobile,13780.09,82438.16,Completed
9018735,2024-08-19,5245064,1090276,Debit,Mobile,31997.13,170664.54,Pending
9018736,2024-07-10,5123353,1028221,Transfer,Online,35259.78,96526.43,Completed
9018737,2023-03-28,5187881,1198082,Transfer,Branch,1430.82,86204.46,Failed
9018738,2023-03-25,5088791,1184336,Transfer,ATM,36787.16,45503.68,Pending
9018739,2023-02-24,5234214,1033700,Debit,Online,35589.99,146821.88,Failed
9018740,2023-02-24,5034113,1049620,Debit,Online,27198.78,97505.04,Failed
9018741,2023-10-24,5208788,1154053,Credit,Online,4292.97,97021.77,Pending
9018742,2023-02-13,5174492,1181860,Debit,Mobile,17258.51,647.27,Failed
9018743,2024-01-28,5099734,1184171,Credit,Online,47865.97,180359.17,Failed
9018744,2023-03-11,5014696,1028578,Credit,Online,8890.31,120525.64,Failed
9018745,2023-03-24,5033284,1014137,Transfer,Online,7869.79,44823.64,Completed
9018746,2024-07-22,5016527,1035679,Credit,Mobile,32554.55,98708.89,Completed
9018747,2023-06-18,5123397,1104831,Transfer,Branch,11585.42,78475.34,Failed
9018748,2023-11-11,5284855,1001410,Credit,Mobile,8312.03,171627.34,Completed
9018749,2023-01-09,5189857,1121977,Transfer,ATM,32623.78,90981.46,Pending
9018750,2024-06-04,5162584,1018023,Credit,ATM,11417.94,7606.06,Pending
9018751,2024-06-16,5016394,1060991,Debit,Online,28501.92,51207.59,Failed
9018752,2023-06-17,5291586,1072899,Transfer,Mobile,4541.03,155769.48,Failed
9018753,2023-12-13,5131959,1020518,Debit,Online,38266.15,170906.41,Failed
9018754,2024-06-15,5296794,1022558,Transfer,Mobile,39106.45,171290.63,Completed
9018755,2023-07-18,5121417,1108146,Transfer,Branch,10948.72,78461.2,Pending
9018756,2024-08-01,5209098,1088018,Credit,Online,39747.56,181484.47,Failed
9018757,2023-10-01,5006725,1072931,Credit,ATM,27860.97,130819.91,Completed
9018758,2024-04-23,5171991,1181937,Credit,Branch,20148.71,73326.6,Pending
9018759,2023-09-12,5076730,1066226,Transfer,ATM,7850.28,152733.34,Failed
9018760,2023-03-03,5167968,1173779,Transfer,ATM,30129.17,78052.37,Pending
9018761,2023-02-16,5193967,1087813,Credit,Online,26507.37,39479.87,Completed
9018762,2023-02-18,5080083,1139824,Credit,Online,27253.19,36342.13,Completed
9018763,2024-08-16,5074573,1102818,Transfer,Online,394.25,110709.25,Completed
9018764,2023-04-21,5169567,1003258,Debit,ATM,4690.94,176238.05,Failed
9018765,2023-10-10,5173736,1097337,Debit,Online,29355.88,172554.87,Failed
9018766,2023-07-20,5255561,1130689,Credit,Online,14284.86,10489.35,Completed
9018767,2023-06-25,5019011,1155297,Transfer,Branch,9774.86,100638.99,Completed
9018768,2024-04-22,5163049,1126308,Transfer,Mobile,33060.76,15793.13,Failed
9018769,2023-05-31,5286957,1016303,Credit,Branch,43047.35,108619.01,Pending
9018770,2023-05-22,5046034,1010308,Debit,Online,21633.07,60702.16,Failed
9018771,2023-10-12,5153534,1109868,Debit,Branch,952.45,190641.48,Completed
9018772,2023-07-23,5049496,1166168,Debit,ATM,3022.87,21086.35,Completed
9018773,2024-07-01,5130548,1131823,Credit,Online,28865.87,171376.68,Failed
9018774,2024-06-09,5237867,1099620,Transfer,Mobile,36972.75,68072.09,Pending
9018775,2023-07-19,5193270,1164137,Debit,Mobile,14080.11,162092.69,Pending
